,avg_latency,avg_jitter,avg_energy,migrations_count,success_rate
threshold,0.0,0.0,0.0,0.0,0.0
q_learning,3.0240039406253345,0.2874060315683778,0.0,100.0,0.96
hybrid,1.1641390403149403,0.14804338970235967,0.004083431080034959,29.0,1.0
