,avg_latency,avg_jitter,avg_energy,migrations_count,success_rate
threshold,1.7780834535673002,0.21231570051054044,0.2024942985691011,19.0,0.9473684210526315
q_learning,6.304401454851553,0.5820310451526557,1.548045731197409,204.0,0.9803921568627451
hybrid,8.882563467490952,1.7556775871751824,1.6103283135118702,145.0,1.0
