,avg_latency,avg_jitter,avg_energy,migrations_count,success_rate
threshold,3.018618080140689,0.08239120415865604,0.0,32.0,1.0
q_learning,1.4056302661612794,0.22246755307033997,0.220101530689725,43.0,0.9302325581395349
hybrid,2.350301557962654,0.2433072556870992,0.14987331233128612,36.0,1.0
