,avg_latency,avg_jitter,avg_energy,migrations_count,success_rate
threshold,0.0,0.0,0.2024942985691011,0.0,0.0
q_learning,0.40420117540608375,0.025174616682399616,0.24158024325804048,14.0,1.0
hybrid,0.5875798824844397,0.05738471870428304,0.2611410786659485,16.0,1.0
