time,model,latency,jitter,energy_consumption,migration_performed,migration_success,migration_mode,cpu_utilization,ram_utilization,overloaded_nodes,predicted_overloads,migrations,cumulative_energy,smooth_latency,smooth_jitter,smooth_energy
0,qlearning,3.7995982667950376,0.17041324898501609,0.010238400026106943,False,False,proactive,0.5,0.4,0,0,0,0.010238400026106943,3.7995982667950376,0.17041324898501609,0.010238400026106943
1,qlearning,3.6502302209981408,0.1493680457968969,0.006682355485697055,False,False,proactive,0.3412435799505625,0.27299486396045,0,0,0,0.016920755511803998,3.724914243896589,0.1598906473909565,0.008460377755901999
2,qlearning,4.163426493246979,0.5131962722488379,0.005919268896707274,False,False,proactive,0.3,0.24,0,0,0,0.02284002440851127,3.871084993680052,0.2776591890102503,0.007613341469503757
3,qlearning,3.957208464477744,0.20621802876923478,0.00574222488051437,False,False,proactive,0.3,0.24,0,0,0,0.02858224928902564,3.8926158613794755,0.2597988989499964,0.00714556232225641
4,qlearning,4.232170442472934,0.27496197799518995,0.0062820172902225205,False,False,proactive,0.3,0.24,0,0,0,0.03486426657924816,3.9605267775981674,0.2628315147590351,0.006972853315849632
5,qlearning,4.045375241556666,0.18679520091626767,0.00585573880408213,False,False,proactive,0.3,0.24,0,0,0,0.04072000538333029,4.009682172550493,0.26610790514528543,0.00609632107144467
6,qlearning,4.269460387542575,0.22408514598590923,0.00725116876445254,False,False,proactive,0.347768942791684,0.27821515423334725,0,0,0,0.047971174147782826,4.133528205859379,0.2810513251830879,0.006210083727195767
7,qlearning,4.022058935561234,0.24740145198134122,0.006022516144801105,False,False,proactive,0.30580862148600685,0.2446468971888055,0,0,0,0.05399369029258393,4.105254694322231,0.22789236112958858,0.006230733176814533
8,qlearning,4.081884578304619,0.059825642743384755,0.005810477448871277,False,False,proactive,0.3,0.24,0,0,0,0.05980416774145521,4.1301899170876055,0.19861388392441856,0.006244383690485915
9,qlearning,3.77450492732183,0.3073796509827891,0.006226600812002912,False,False,proactive,0.3,0.24,0,0,0,0.06603076855345812,4.038656814057385,0.20509741852193838,0.006233300394841992
10,qlearning,3.955908271968283,0.18140334464645314,0.006102455057404768,False,False,proactive,0.3,0.24,0,0,0,0.07213322361086288,4.020763420139708,0.20401904726797548,0.006282643645506521
11,qlearning,3.807977078387415,0.14793119358086804,0.006099486394100056,False,False,proactive,0.3,0.24,0,0,0,0.07823271000496294,3.9284667583086765,0.18878825678696726,0.006052307171436023
12,qlearning,3.827169747889467,0.019192669502051896,0.005924555291217167,False,False,proactive,0.3,0.24,0,0,0,0.08415726529618012,3.8894889207743226,0.14314650029110937,0.006032715000719236
13,qlearning,3.99636927738938,0.16919952949991313,0.006035768352768922,False,False,proactive,0.3,0.24,0,0,0,0.09019303364894904,3.872385860591275,0.16502127764241506,0.006077773181498765
14,qlearning,4.2343043775175335,0.23793510012815355,0.0057646723325458695,False,False,proactive,0.3,0.24,0,0,0,0.0959577059814949,3.964345750630416,0.15113236747148795,0.005985387485607356
15,qlearning,4.0166885965504955,0.21761578096703804,0.00592014551503142,False,False,proactive,0.3,0.24,0,0,0,0.10187785149652633,3.9765018155468583,0.15837485473560492,0.005948925577132687
16,qlearning,3.795308466919247,0.2213801296312483,0.005980247135362292,False,False,proactive,0.3,0.24,0,0,0,0.10785809863188861,3.9739680932532244,0.173064641945681,0.005925077725385135
17,qlearning,4.35837973185552,0.5630712649362732,0.0057237913875941016,False,False,proactive,0.3,0.24,0,0,0,0.11358189001948271,4.080210090046435,0.28184036103252524,0.005884924944660521
18,qlearning,4.35560738098801,0.002772350867510376,0.0060102013109343275,False,False,proactive,0.3,0.24,0,0,0,0.11959209133041704,4.152057710766161,0.2485549253060447,0.005879811536293602
19,qlearning,4.054453805488121,0.30115357549988886,0.0058470716096815905,False,False,proactive,0.3,0.24,0,0,0,0.12543916294009863,4.116087596360279,0.26119862038039177,0.005896291391720747
20,qlearning,3.9182838883740607,0.13616991711406046,0.006267033476432774,False,False,proactive,0.3,0.24,0,0,0,0.13170619641653142,4.0964066547249915,0.24490944760979624,0.005965668984001017
21,qlearning,3.8816565017000224,0.03662738667403831,0.005939768798462882,False,False,proactive,0.3,0.24,0,0,0,0.1376459652149943,4.113676261681148,0.20795889901835424,0.0059575733166211346
22,qlearning,3.6738518794067065,0.20780462229331587,0.005888132109419233,False,False,proactive,0.3,0.24,0,0,0,0.14353409732441355,3.9767706911913843,0.13690557048976276,0.0059904414609861616
23,qlearning,4.070581697620503,0.3967298182137968,0.0062898663012347245,False,False,proactive,0.3,0.24,0,0,0,0.1498239636256483,3.919765554517883,0.21569706395902005,0.0060463744590462404
24,qlearning,3.7467461142934524,0.323835583327051,0.005789087757142108,False,False,proactive,0.3,0.24,0,0,0,0.15561305138279038,3.8582240162789487,0.2202334655244525,0.006034777688538344
25,qlearning,3.9808898206481875,0.23414370635473514,0.006030255088543135,False,False,proactive,0.3,0.24,0,0,0,0.16164330647133351,3.8707452027337745,0.2398282233725874,0.005987422010960417
26,qlearning,4.3031673079433705,0.322277487295183,0.005793400453417527,False,False,proactive,0.3,0.24,0,0,0,0.16743670692475104,3.9550473639824446,0.2969582434968164,0.005958148341951346
27,qlearning,4.23341096105209,0.06975634689128096,0.005783519781582197,False,False,proactive,0.3,0.24,0,0,0,0.17322022670633325,4.06695918031152,0.2693485884164094,0.005937225876383938
