time,model,latency,jitter,energy_consumption,migration_performed,migration_success,migration_mode,cpu_utilization,ram_utilization,overloaded_nodes,predicted_overloads,migrations,cumulative_energy,smooth_latency,smooth_jitter,smooth_energy
0,qlearning,4.0,0.0,0.015121191408114746,False,False,proactive,0.7560595704057373,0.6048476563245899,3,4,0,0.015121191408114746,4.0,0.0,0.015121191408114746
1,qlearning,4.0,0.0,0.016519292397916586,False,False,proactive,0.8259646198958295,0.6607716959166636,4,4,0,0.031640483806031336,4.0,0.0,0.015820241903015668
2,qlearning,4.0,0.0,0.01677555762504535,False,False,proactive,0.8387778812522675,0.671022305001814,3,4,0,0.04841604143107668,4.0,0.0,0.01613868047702556
3,qlearning,4.0,0.0,0.016184725271147324,False,False,proactive,0.8092362635573662,0.6473890108458931,3,4,0,0.064600766702224,4.0,0.0,0.016150191675556
4,qlearning,34.1649508647652,30.164950864765203,0.10710035694321915,True,True,proactive,0.7725424147783582,0.6180339318226866,3,4,1,0.17170112364544315,10.03299017295304,6.03299017295304,0.03434022472908863
5,qlearning,4.0,0.0,0.015232679291225905,False,False,proactive,0.7616339645612953,0.6093071716490362,1,4,1,0.18693380293666906,10.03299017295304,6.03299017295304,0.034362522305710866
6,qlearning,4.0,0.0,0.01599036138881211,False,False,proactive,0.7995180694406054,0.6396144555524844,2,4,1,0.20292416432548116,10.03299017295304,6.03299017295304,0.03425673610388997
7,qlearning,4.0,0.0,0.015240167894845018,False,False,proactive,0.762008394742251,0.6096067157938009,2,4,1,0.2181643322203262,10.03299017295304,6.03299017295304,0.0339496581578499
8,qlearning,36.93118921704328,32.93118921704328,0.1348847133007636,True,True,proactive,0.7786410565165399,0.622912845213232,2,4,2,0.3530490455210898,16.619228016361696,12.619228016361697,0.05768965576377316
9,qlearning,4.0,0.0,0.015437797199711528,False,False,proactive,0.7718898599855765,0.6175118879884612,3,4,2,0.36848684272080134,10.586237843408657,6.586237843408656,0.03935714381507163
10,qlearning,4.0,0.0,0.016198808558108298,False,False,proactive,0.8099404279054149,0.647952342324332,3,3,2,0.38468565127890963,10.586237843408657,6.586237843408656,0.03955036966844811
11,qlearning,29.896270360780967,25.896270360780967,0.06501803103793338,True,True,proactive,0.8027663715061866,0.6422130972049493,3,4,3,0.449703682316843,15.765491915564848,11.76549191556485,0.04935590359827237
12,qlearning,4.0,0.0,0.016459375808554087,False,False,proactive,0.8229687904277044,0.6583750323421635,4,4,3,0.4661630581253971,15.765491915564848,11.76549191556485,0.049599745181014177
13,qlearning,30.96186323461022,26.96186323461022,0.07492841688222515,True,True,proactive,0.7654892268061486,0.6123913814449189,3,4,4,0.5410914750076222,14.571626719078239,10.571626719078237,0.03760848589730649
14,qlearning,4.0,0.0,0.014850676393244916,False,False,proactive,0.7425338196622459,0.5940270557297967,3,3,4,0.5559421514008671,14.571626719078239,10.571626719078237,0.037491061736013166
15,qlearning,4.0,0.0,0.01539687135432223,False,False,proactive,0.7698435677161116,0.6158748541728893,3,3,4,0.5713390227551893,14.571626719078239,10.571626719078237,0.03733067429525595
16,qlearning,31.9566654636294,27.9566654636294,0.08480514365000258,True,True,proactive,0.7619244506854294,0.6095395605483436,3,3,5,0.6561441664051919,14.983705739647922,10.983705739647924,0.041288096817669796
17,qlearning,4.0,0.0,0.015916377329108,False,False,proactive,0.7958188664554,0.63665509316432,2,3,5,0.6720605437342999,14.983705739647922,10.983705739647924,0.041179497121780574
18,qlearning,4.0,0.0,0.01559258256433942,False,False,proactive,0.7796291282169711,0.6237033025735769,2,3,5,0.6876531262986393,9.591333092725879,5.59133309272588,0.02931233025820343
19,qlearning,4.0,0.0,0.016136843596916205,False,False,proactive,0.8068421798458103,0.6454737438766482,3,4,5,0.7037899698955555,9.591333092725879,5.59133309272588,0.029569563698937686
20,qlearning,4.0,0.0,0.01494835833462812,False,False,proactive,0.7474179167314061,0.5979343333851249,2,4,5,0.7187383282301837,9.591333092725879,5.59133309272588,0.029479861094998866
21,qlearning,31.897784169024657,27.897784169024657,0.08454758271324352,True,True,proactive,0.7784870511498482,0.6227896409198785,2,3,6,0.8032859109434272,9.579556833804933,5.579556833804931,0.02942834890764705
22,qlearning,35.828248508319724,31.828248508319724,0.12355977109352942,True,True,proactive,0.7638643005166083,0.6110914404132867,2,3,7,0.9268456820369566,15.945206535468875,11.945206535468875,0.05095702766053134
23,qlearning,29.763505629281518,25.763505629281518,0.06265384917712435,True,True,proactive,0.7509396442154582,0.6007517153723666,2,3,8,0.989499531214081,21.097907661325177,17.09790766132518,0.06036928098308832
24,qlearning,4.0,0.0,0.014074112189393794,False,False,proactive,0.7037056094696897,0.5629644875757518,1,2,8,1.0035736434034748,21.097907661325177,17.09790766132518,0.059956734701583844
25,qlearning,32.13626248741697,28.13626248741697,0.08677026353887246,True,True,proactive,0.7703819332351388,0.6163055465881111,2,4,9,1.0903439069423473,26.725160158808574,22.725160158808574,0.07432111574243272
26,qlearning,4.0,0.0,0.01510969283908813,False,False,proactive,0.7554846419544066,0.6043877135635253,2,3,9,1.1054535997814354,21.14560332500364,17.14560332500364,0.06043353776760163
27,qlearning,36.263800229430586,32.263800229430586,0.1281641792253077,True,True,proactive,0.7763088465500942,0.6210470772400755,2,4,10,1.233617779006743,21.232713669225813,17.232713669225816,0.06135441939395729
28,qlearning,29.67998028420136,25.67998028420136,0.06231188613035103,True,True,proactive,0.7756041644168712,0.620483331533497,2,3,11,1.2959296651370942,21.216008600209783,17.216008600209783,0.06128602678460262
29,qlearning,4.0,0.0,0.014663098788047864,False,False,proactive,0.7331549394023933,0.5865239515219146,2,4,11,1.310592763925142,21.216008600209783,17.216008600209783,0.06140382410433344
30,qlearning,33.49669807863535,29.496698078635347,0.09957985967247368,True,True,proactive,0.7306439443060098,0.5845151554448078,1,3,12,1.4101726235976157,21.488095718453458,17.488095718453458,0.06396574333105368
31,qlearning,29.197028613824394,25.197028613824394,0.05630623689478587,True,True,proactive,0.7167975378270982,0.5734380302616786,1,3,13,1.4664788604924017,26.527501441218334,22.527501441218337,0.07220505214219322
32,qlearning,36.18198023776382,32.18198023776382,0.12593978540654263,True,True,proactive,0.7059991514452231,0.5647993211561785,1,3,14,1.5924186458989444,26.51113744288498,22.511137442884984,0.07176017337844022
33,qlearning,4.0,0.0,0.014574886214997177,False,False,proactive,0.7287443107498589,0.5829954485998872,2,4,14,1.6069935321139417,21.37514138604471,17.37514138604471,0.062212773395369445
34,qlearning,4.0,0.0,0.014614473617122505,False,False,proactive,0.7307236808561254,0.5845789446849003,2,4,14,1.6216080057310642,21.37514138604471,17.37514138604471,0.06220304836118438
35,qlearning,4.0,0.0,0.014215394478918026,False,False,proactive,0.7107697239459014,0.5686157791567211,1,3,14,1.6358234002099823,15.475801770317641,11.475801770317641,0.04513015532247325
36,qlearning,4.0,0.0,0.015093559533882264,False,False,proactive,0.7546779766941132,0.6037423813552906,2,4,14,1.6509169597438647,10.436396047552764,6.436396047552765,0.03688761985029252
37,qlearning,4.0,0.0,0.014586667614304579,False,False,proactive,0.729333380715229,0.5834667045721832,1,4,14,1.6655036273581691,4.0,0.0,0.014616996291844911
38,qlearning,4.0,0.0,0.014690760745710659,False,False,proactive,0.734538037285533,0.5876304298284264,1,4,14,1.6801943881038799,4.0,0.0,0.014640171197987606
39,qlearning,4.0,0.0,0.013490586408237097,False,False,proactive,0.674529320411855,0.539623456329484,0,4,14,1.693684974512117,4.0,0.0,0.014415393756210527
40,qlearning,4.0,0.0,0.01381711704304353,False,False,proactive,0.6908558521521766,0.5526846817217413,0,3,14,1.7075020915551604,4.0,0.0,0.014335738269035624
41,qlearning,4.0,0.0,0.013351514397687805,False,False,proactive,0.6675757198843904,0.5340605759075123,0,2,14,1.7208536059528483,4.0,0.0,0.013987329241796733
42,qlearning,4.0,0.0,0.013566625669729188,False,False,proactive,0.6783312834864594,0.5426650267891676,0,2,14,1.7344202316225774,4.0,0.0,0.013783320852881656
43,qlearning,4.0,0.0,0.013792363765578354,False,False,proactive,0.6896181882789177,0.5516945506231342,0,3,14,1.7482125953881558,4.0,0.0,0.013603641456855196
44,qlearning,31.62578564064943,27.62578564064943,0.07978620054873611,True,True,proactive,0.6764172071120904,0.5411337656896723,0,3,15,1.827998795936892,9.525157128129885,5.5251571281298855,0.026862764284954998
45,qlearning,4.0,0.0,0.013647766603096608,False,False,proactive,0.6823883301548305,0.5459106641238644,0,3,15,1.8416465625399885,9.525157128129885,5.5251571281298855,0.026828894196965613
46,qlearning,4.0,0.0,0.013959040528987832,False,False,proactive,0.6979520264493916,0.5583616211595133,0,3,15,1.8556056030689763,9.525157128129885,5.5251571281298855,0.026950399423225618
47,qlearning,4.0,0.0,0.013954757427662057,False,False,proactive,0.6977378713831028,0.5581902971064823,1,3,15,1.8695603604966382,9.525157128129885,5.5251571281298855,0.02702802577481219
48,qlearning,4.0,0.0,0.013329969697565489,False,False,proactive,0.6664984848782745,0.5331987879026195,0,2,15,1.8828903301942037,9.525157128129885,5.5251571281298855,0.026935546961209623
49,qlearning,4.0,0.0,0.013571178123492754,False,False,proactive,0.6785589061746378,0.5428471249397102,1,2,15,1.8964615083176966,4.0,0.0,0.01369254247616095
50,qlearning,4.0,0.0,0.013847658959454973,False,False,proactive,0.6923829479727487,0.553906358378199,1,3,15,1.9103091672771515,4.0,0.0,0.013732520947432622
51,qlearning,4.0,0.0,0.013121075914085971,False,False,proactive,0.6560537957042986,0.5248430365634389,0,2,15,1.9234302431912376,4.0,0.0,0.01356492802445225
52,qlearning,4.0,0.0,0.01323266263010819,False,False,proactive,0.6616331315054096,0.5293065052043276,0,2,15,1.9366629058213458,4.0,0.0,0.013420509064941476
53,qlearning,4.0,0.0,0.014034232430651248,False,False,proactive,0.7017116215325625,0.56136929722605,0,4,15,1.950697138251997,4.0,0.0,0.013561361611558628
54,qlearning,4.0,0.0,0.013766624629283086,False,False,proactive,0.6883312314641543,0.5506649851713235,0,3,15,1.9644637628812802,4.0,0.0,0.013600450912716694
55,qlearning,4.0,0.0,0.013309164521481471,False,False,proactive,0.6654582260740737,0.5323665808592589,0,2,15,1.9777729274027618,4.0,0.0,0.013492752025121993
56,qlearning,4.0,0.0,0.013836509221333608,False,False,proactive,0.6918254610666804,0.5534603688533444,1,3,15,1.9916094366240953,4.0,0.0,0.013635838686571523
57,qlearning,4.0,0.0,0.014053647759311028,False,False,proactive,0.7026823879655515,0.5621459103724412,1,3,15,2.0056630843834062,4.0,0.0,0.013800035712412086
58,qlearning,4.0,0.0,0.01372931311930264,False,False,proactive,0.6864656559651321,0.5491725247721057,0,4,15,2.019392397502709,4.0,0.0,0.013739051850142367
59,qlearning,4.0,0.0,0.014160395490486576,False,False,proactive,0.7080197745243288,0.5664158196194631,1,4,15,2.0335527929931954,4.0,0.0,0.013817806022383064
60,qlearning,4.0,0.0,0.01428894906516771,False,False,proactive,0.7144474532583855,0.5715579626067084,0,4,15,2.0478417420583632,4.0,0.0,0.014013762931120314
61,qlearning,4.0,0.0,0.013271536804429164,False,False,proactive,0.6635768402214582,0.5308614721771666,0,4,15,2.0611132788627926,4.0,0.0,0.013900768447739423
62,qlearning,4.0,0.0,0.013234307096701318,False,False,proactive,0.6617153548350659,0.5293722838680528,0,2,15,2.0743475859594938,4.0,0.0,0.013736900315217482
63,qlearning,31.762952828486153,27.762952828486153,0.08156599900242087,True,True,proactive,0.6968235358779674,0.557458828702374,1,2,16,2.1559135849619144,9.55259056569723,5.552590565697231,0.027304237491841125
64,qlearning,30.819494908457628,26.819494908457628,0.07222045237448886,True,True,proactive,0.7012751644956285,0.5610201315965029,1,3,17,2.228134037336403,14.916489547388755,10.916489547388755,0.03891624886864158
65,qlearning,4.0,0.0,0.014011030680889859,False,False,proactive,0.700551534044493,0.5604412272355944,1,3,17,2.242145068017293,14.916489547388755,10.916489547388755,0.038860665191786006
66,qlearning,4.0,0.0,0.014686539276738582,False,False,proactive,0.7343269638369291,0.5874615710695433,2,3,17,2.2568316072940315,14.916489547388755,10.916489547388755,0.0391436656862479
67,qlearning,31.244839636041746,27.244839636041746,0.07654366192731071,True,True,proactive,0.7047632783446618,0.5638106226757295,0,3,18,2.3333752692213423,20.365457474597104,16.365457474597104,0.051805536652369776
68,qlearning,4.0,0.0,0.014594499278192482,False,False,proactive,0.7297249639096242,0.5837799711276993,2,3,18,2.3479697684995346,14.812866908899874,10.812866908899874,0.0384112367075241
69,qlearning,4.0,0.0,0.014447022669174048,False,False,proactive,0.7223511334587025,0.577880906766962,1,4,18,2.362416791168709,9.448967927208349,5.448967927208349,0.026856550766461134
70,qlearning,4.0,0.0,0.014604138880563944,False,False,proactive,0.7302069440281972,0.5841655552225578,2,3,18,2.3770209300492726,9.448967927208349,5.448967927208349,0.026975172406395954
71,qlearning,4.0,0.0,0.01455879201828693,False,False,proactive,0.7279396009143466,0.5823516807314774,2,3,18,2.3915797220675596,9.448967927208349,5.448967927208349,0.02694962295470562
72,qlearning,4.0,0.0,0.013607262417443715,False,False,proactive,0.6803631208721859,0.5442904966977488,0,2,18,2.4051869844850033,4.0,0.0,0.014362343052732224
73,qlearning,4.0,0.0,0.01449456345328424,False,False,proactive,0.7247281726642121,0.5797825381313697,1,4,18,2.4196815479382874,4.0,0.0,0.014342355887750577
74,qlearning,37.24945507831206,33.24945507831206,0.13723489092612598,True,True,proactive,0.737017007150269,0.5896136057202152,2,3,19,2.5569164388644134,10.649891015662412,6.649891015662412,0.03889992953914097
