time,model,latency,jitter,energy_consumption,migration_performed,migration_success,migration_mode,cpu_utilization,ram_utilization,overloaded_nodes,predicted_overloads,migrations,cumulative_energy,smooth_latency,smooth_jitter,smooth_energy
0,qlearning,4.0,0.0,0.015493586768693834,False,False,proactive,0.7746793384346917,0.6197434707477534,3,4,0,0.015493586768693834,4.0,0.0,0.015493586768693834
1,qlearning,4.0,0.0,0.015523834397972877,False,False,proactive,0.7761917198986439,0.6209533759189152,3,4,0,0.03101742116666671,4.0,0.0,0.015508710583333356
2,qlearning,4.0,0.0,0.015624001111033093,False,False,proactive,0.7812000555516547,0.6249600444413238,3,4,0,0.0466414222776998,4.0,0.0,0.015547140759233267
3,qlearning,4.0,0.0,0.016005698754330056,False,False,proactive,0.8002849377165029,0.6402279501732023,3,4,0,0.06264712103202985,4.0,0.0,0.015661780258007463
4,qlearning,4.0,0.0,0.016000319045535363,False,False,proactive,0.8000159522767682,0.6400127618214146,3,4,0,0.07864744007756522,4.0,0.0,0.015729488015513042
5,qlearning,4.0,0.0,0.01608057148619085,False,False,proactive,0.8040285743095426,0.6432228594476341,3,4,0,0.09472801156375607,4.0,0.0,0.015846884959012448
6,qlearning,4.0,0.0,0.016008788059756692,False,False,proactive,0.8004394029878347,0.6403515223902678,3,4,0,0.11073679962351277,4.0,0.0,0.01594387569136921
7,qlearning,4.0,0.0,0.01616811743374677,False,False,proactive,0.8084058716873386,0.6467246973498709,4,4,0,0.12690491705725954,4.0,0.0,0.016052698955911944
8,qlearning,30.75258211267909,26.75258211267909,0.07348427002331473,True,True,proactive,0.7979224448261916,0.6383379558609533,4,4,1,0.20038918708057427,9.350516422535819,5.350516422535818,0.027548413209708883
9,qlearning,4.0,0.0,0.01642975691796748,False,False,proactive,0.8214878458983741,0.6571902767186993,4,4,1,0.21681894399854174,9.350516422535819,5.350516422535818,0.027634300784195303
10,qlearning,4.0,0.0,0.01610352291543091,False,False,proactive,0.8051761457715456,0.6441409166172365,3,4,1,0.23292246691397264,9.350516422535819,5.350516422535818,0.027638891070043314
11,qlearning,4.0,0.0,0.01599687854703574,False,False,proactive,0.799843927351787,0.6398751418814297,4,4,1,0.24891934546100838,9.350516422535819,5.350516422535818,0.027636509167499122
12,qlearning,4.0,0.0,0.01645746957998581,False,False,proactive,0.8228734789992906,0.6582987831994326,4,4,1,0.2653768150409942,9.350516422535819,5.350516422535818,0.02769437959674693
13,qlearning,4.0,0.0,0.016165726047173895,False,False,proactive,0.8082863023586949,0.646629041886956,3,4,1,0.2815425410881681,4.0,0.0,0.016230670801518767
14,qlearning,4.0,0.0,0.016246910868653708,False,False,proactive,0.8123455434326854,0.6498764347461483,3,4,1,0.2977894519568218,4.0,0.0,0.01619410159165601
15,qlearning,4.0,0.0,0.016332352389083843,False,False,proactive,0.8166176194541922,0.6532940955633538,4,4,1,0.31412180434590564,4.0,0.0,0.0162398674863866
16,qlearning,4.0,0.0,0.0163284503429727,False,False,proactive,0.816422517148635,0.653138013718908,3,4,1,0.33045025468887834,4.0,0.0,0.016306181845573992
17,qlearning,4.0,0.0,0.015914998911168862,False,False,proactive,0.7957499455584433,0.6365999564467546,3,4,1,0.3463652536000472,4.0,0.0,0.016197687711810602
18,qlearning,30.39921582697533,26.39921582697533,0.07005228196000726,True,True,proactive,0.8030061845126986,0.6424049476101589,3,4,2,0.41641753556005445,9.279843165395066,5.279843165395066,0.026974998894377277
19,qlearning,4.0,0.0,0.01566632136592204,False,False,proactive,0.7833160682961021,0.6266528546368817,3,4,2,0.4320838569259765,9.279843165395066,5.279843165395066,0.026858880993830943
20,qlearning,4.0,0.0,0.015937418599788977,False,False,proactive,0.7968709299894489,0.6374967439915591,3,4,2,0.4480212755257655,9.279843165395066,5.279843165395066,0.02677989423597197
21,qlearning,31.801591362837772,27.801591362837772,0.08400177826066185,True,True,proactive,0.7992932316142074,0.639434585291366,3,4,3,0.5320230537864273,14.840161437962621,10.840161437962621,0.0403145598195098
22,qlearning,31.582671759075687,27.582671759075687,0.08206743413209694,True,True,proactive,0.8120358270670038,0.6496286616536031,3,4,4,0.6140904879185243,20.356695789777756,16.356695789777756,0.05354504686369541
23,qlearning,35.66107385314016,31.66107385314016,0.12251046842144675,True,True,proactive,0.794986494502257,0.6359891956018057,3,4,5,0.736600956339971,21.409067395010723,17.409067395010723,0.06403668415598332
24,qlearning,4.0,0.0,0.015502514458161228,False,False,proactive,0.7751257229080615,0.6201005783264493,2,4,5,0.7521034707981322,21.409067395010727,17.409067395010723,0.06400392277443115
25,qlearning,31.354360778476483,27.354360778476483,0.07885946915232486,True,True,proactive,0.7657930683780008,0.6126344547024006,3,3,6,0.8309629399504571,26.879939550706023,22.87993955070602,0.07658833288493834
26,qlearning,4.0,0.0,0.01559533826332696,False,False,proactive,0.779766913166348,0.6238135305330785,2,4,6,0.846558278213784,21.319621278138463,17.319621278138467,0.06290704488547134
27,qlearning,4.0,0.0,0.014843260108331233,False,False,proactive,0.7421630054165618,0.5937304043332494,3,3,6,0.8614015383221153,15.803086926323328,11.803086926323328,0.0494622100807182
28,qlearning,37.17715393430434,33.17715393430434,0.1372095275029634,True,True,proactive,0.7718994079959977,0.6175195263967982,2,4,7,0.9986110658250786,16.106302942556162,12.106302942556166,0.05240202189702153
29,qlearning,4.0,0.0,0.015006813733091724,False,False,proactive,0.7503406866545863,0.6002725493236691,3,3,7,1.0136178795581703,16.106302942556162,12.106302942556166,0.05230288175200763
30,qlearning,4.0,0.0,0.015126931330843058,False,False,proactive,0.7563465665421529,0.6050772532337224,2,3,7,1.0287448108890134,10.63543078686087,6.63543078686087,0.039556374187711275
31,qlearning,4.0,0.0,0.014994429131211344,False,False,proactive,0.7497214565605672,0.5997771652484538,2,3,7,1.0437392400202248,10.63543078686087,6.63543078686087,0.03943619236128815
32,qlearning,37.41228999511818,33.41228999511818,0.139525176161358,True,True,proactive,0.7701138105088121,0.6160910484070498,3,3,8,1.1832644161815828,17.317888785884502,13.317888785884506,0.0643725755718935
33,qlearning,4.0,0.0,0.014827546042005011,False,False,proactive,0.7413773021002507,0.5931018416802005,2,3,8,1.198091962223588,10.682457999023637,6.6824579990236375,0.03989617927970183
34,qlearning,4.0,0.0,0.014650910728313628,False,False,proactive,0.7325455364156814,0.5860364291325452,2,3,8,1.2127428729519016,10.682457999023637,6.6824579990236375,0.039824998678746205
35,qlearning,31.185246747057143,27.185246747057143,0.07633189794071077,True,True,proactive,0.723971523506968,0.5791772188055745,2,3,9,1.2890747708926125,16.119507348435064,12.119507348435066,0.05206599200071975
36,qlearning,4.0,0.0,0.014521389525788964,False,False,proactive,0.7260694762894482,0.5808555810315585,2,3,9,1.3035961604184014,16.119507348435064,12.119507348435066,0.05197138407963527
37,qlearning,4.0,0.0,0.014519478410674674,False,False,proactive,0.7259739205337338,0.5807791364269871,2,3,9,1.318115638829076,9.437049349411428,5.43704934941143,0.02697024452949861
38,qlearning,4.0,0.0,0.014367669138133164,False,False,proactive,0.7183834569066583,0.5747067655253266,2,3,9,1.3324833079672092,9.437049349411428,5.43704934941143,0.026878269148724244
39,qlearning,4.0,0.0,0.014087596349823124,False,False,proactive,0.7043798174911563,0.563503853992925,2,2,9,1.3465709043170322,9.437049349411428,5.43704934941143,0.026765606273026137
40,qlearning,4.0,0.0,0.014047851908460349,False,False,proactive,0.7023925954230175,0.561914076338414,1,3,9,1.3606187562254926,4.0,0.0,0.014308797066576054
41,qlearning,30.368619804879764,26.368619804879764,0.06752858192049356,True,True,proactive,0.6921191935847958,0.5536953548678366,2,2,10,1.4281473381459862,9.273723960975953,5.273723960975954,0.024910235545516975
42,qlearning,4.0,0.0,0.0134236145238775,False,False,proactive,0.6711807261938751,0.5369445809551001,0,3,10,1.4415709526698637,9.273723960975953,5.273723960975954,0.024691062768157537
43,qlearning,4.0,0.0,0.013752926358149523,False,False,proactive,0.6876463179074762,0.550117054325981,1,3,10,1.4553238790280132,9.273723960975953,5.273723960975954,0.024568114212160812
44,qlearning,4.0,0.0,0.013706010916874506,False,False,proactive,0.6853005458437254,0.5482404366749803,1,2,10,1.4690298899448877,9.273723960975953,5.273723960975954,0.024491797125571087
45,qlearning,4.0,0.0,0.013365324805974384,False,False,proactive,0.6682662402987193,0.5346129922389754,1,2,10,1.4823952147508621,9.273723960975953,5.273723960975954,0.024355291705073896
