time,model,latency,jitter,energy_consumption,migration_performed,migration_success,migration_mode,cpu_utilization,ram_utilization,overloaded_nodes,predicted_overloads,migrations,cumulative_energy,smooth_latency,smooth_jitter,smooth_energy
0,qlearning,4.0,0.0,0.010605872704809534,False,False,proactive,0.5302936352404768,0.42423490819238147,0,0,0,0.010605872704809534,4.0,0.0,0.010605872704809534
1,qlearning,4.0,0.0,0.010558269557030323,False,False,proactive,0.5279134778515162,0.422330782281213,0,0,0,0.02116414226183986,4.0,0.0,0.01058207113091993
2,qlearning,4.0,0.0,0.010635538504720665,False,False,proactive,0.5317769252360333,0.4254215401888266,0,0,0,0.03179968076656052,4.0,0.0,0.010599893588853507
3,qlearning,4.0,0.0,0.010484377203984714,False,False,proactive,0.5242188601992357,0.41937508815938856,0,0,0,0.042284057970545234,4.0,0.0,0.010571014492636309
4,qlearning,4.0,0.0,0.010614771480454296,False,False,proactive,0.5307385740227148,0.4245908592181719,0,0,0,0.05289882945099953,4.0,0.0,0.010579765890199907
5,qlearning,4.0,0.0,0.010600845832838404,False,False,proactive,0.5300422916419203,0.4240338333135363,0,0,0,0.06349967528383793,4.0,0.0,0.01057876051580568
6,qlearning,4.0,0.0,0.011072342563034243,False,False,proactive,0.5536171281517122,0.4428937025213697,0,0,0,0.07457201784687217,4.0,0.0,0.010681575117006464
7,qlearning,4.0,0.0,0.010563518718392062,False,False,proactive,0.5281759359196031,0.4225407487356825,0,0,0,0.08513553656526424,4.0,0.0,0.010667171159740745
8,qlearning,4.0,0.0,0.01064493352657487,False,False,proactive,0.5322466763287435,0.42579734106299477,0,0,0,0.0957804700918391,4.0,0.0,0.010699282424258775
9,qlearning,4.0,0.0,0.010835683590407742,False,False,proactive,0.5417841795203872,0.43342734361630975,0,0,0,0.10661615368224683,4.0,0.0,0.010743464846249464
10,qlearning,4.0,0.0,0.01083521799867217,False,False,proactive,0.5417608999336085,0.43340871994688684,0,0,0,0.117451371680919,4.0,0.0,0.010790339279416217
11,qlearning,4.0,0.0,0.010888944589581426,False,False,proactive,0.5444472294790714,0.43555778358325714,0,0,0,0.12834031627050044,4.0,0.0,0.010753659684725653
12,qlearning,4.0,0.0,0.010815502691602003,False,False,proactive,0.5407751345801002,0.43262010766408016,0,0,0,0.13915581896210244,4.0,0.0,0.010804056479367642
13,qlearning,4.0,0.0,0.010796591177120425,False,False,proactive,0.5398295588560214,0.4318636470848171,0,0,0,0.14995241013922286,4.0,0.0,0.010834388009476753
