time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter
0,0,0,0,0.18902346321373326,0.14951173160686662,9.624328083047537,0
1,0,0,0,0.1886910981098805,0.14934554905494027,9.617431086550848,0.003448498248344478
2,0,0,0,0.1881599936223951,0.14907999681119757,9.60678216674926,0.007217472875383803
3,0,0,0,0.1878061749087122,0.14890308745435613,9.605226658921334,0.007846413569180904
4,0,0,0,0.18811301806180694,0.14905650903090348,9.61919635568046,0.007385863821136817
5,0,0,0,0.18796213550697238,0.14898106775348618,9.616034229046555,0.006763704417903856
6,0,0,0,0.18877657819889274,0.14938828909944635,9.6323608230517,0.008765342754428977
7,0,0,0,0.1915874550237764,0.15079372751188821,9.67033774979191,0.01935122036996421
8,0,0,0,0.1919380127778038,0.15096900638890193,9.677135316040662,0.024740856960849857
9,0,0,0,0.19385031933181668,0.15192515966590836,9.708500772777318,0.03327682344709698
10,0,0,0,0.1932725705922369,0.15163628529611847,9.69447065439619,0.03690649794818237
11,0,0,0,0.1930794988237034,0.15153974941185172,9.69472686888943,0.038438483858925426
12,0,0,0,0.1913312472591041,0.15066562362955208,9.670399078099814,0.03550158034816373
13,0,0,0,0.19090723741629,0.15045361870814503,9.664674708422432,0.03067573168628352
14,0,0,0,0.1916560614294578,0.1508280307147289,9.67710306692847,0.026736215894144544
15,0,0,0,0.19241081986679234,0.15120540993339618,9.687825492628994,0.01988927931873631
16,0,0,0,0.19334545907213685,0.15167272953606845,9.701120502529516,0.014030584813069331
17,0,0,0,0.19006588271875757,0.1500329413593788,9.652346494873523,0.016655749853420207
18,0,0,0,0.1935981832551653,0.15179909162758265,9.701949105571943,0.017451830051091022
19,0,0,0,0.19562148574887184,0.15281074287443594,9.729747753676133,0.02106502113628828
20,0,0,0,0.19596424486730046,0.15298212243365023,9.727394403647708,0.02424070327560259
21,0,0,0,0.1955066436020187,0.15275332180100937,9.724257780662438,0.02626236959324912
22,0,0,0,0.19661544475203913,0.15330772237601958,9.738592935714362,0.02811938839697248
23,0,0,0,0.19583049323368557,0.1529152466168428,9.732239585387058,0.0267848522125272
24,0,0,0,0.19919616720470454,0.15459808360235228,9.781505455203906,0.032692081503571474
25,0,0,0,0.19860548285081664,0.15430274142540834,9.775144550004095,0.035118382824536956
26,0,0,0,0.19561378679293362,0.1528068933964668,9.723375829869056,0.03413538022750097
27,0,0,0,0.1955764461500502,0.15278822307502513,9.722619969078732,0.023177110736885595
28,0,0,0,0.193561528643974,0.15178076432198703,9.694034938274111,0.024417416866265675
29,0,0,0,0.19480951417528142,0.15240475708764073,9.713040746509872,0.025268916375173207
30,0,0,0,0.1979229743064415,0.15396148715322078,9.754974234741969,0.025977666615676416
31,0,0,0,0.19725172397679208,0.15362586198839606,9.750860335155144,0.026003288902173585
32,0,0,0,0.19453309722688378,0.1522665486134419,9.707849359055306,0.027595624150849648
33,0,0,0,0.19473897960949396,0.15236948980474702,9.711850341200302,0.028504243330888593
34,0,0,0,0.1918807148713463,0.15094035743567316,9.669969219277885,0.029356817500086643
35,0,0,0,0.19104724037658175,0.15052362018829088,9.657450542337848,0.029432773909765553
36,0,0,0,0.1923160857752364,0.15115804288761822,9.678527224001712,0.030540812126931435
37,0,0,0,0.19275198154184214,0.15137599077092107,9.687885121336443,0.030441521810112466
38,0,0,0,0.195507748894039,0.1527538744470195,9.733563486992871,0.031610906845846755
39,0,0,0,0.1954394000190739,0.15271970000953694,9.731817451515587,0.03248351099188803
40,0,0,0,0.19520417974106136,0.1526020898705307,9.731119473356493,0.0297413187912996
41,0,0,0,0.19468132590078704,0.15234066295039356,9.722097613442306,0.026484993797458303
42,0,0,0,0.19444779026729925,0.15222389513364964,9.716961713590196,0.026783907611336265
43,0,0,0,0.19550875743157542,0.1527543787157877,9.730857332569748,0.027915259098423344
44,0,0,0,0.19487555269828902,0.15243777634914452,9.723153982207194,0.025501267520665335
45,0,0,0,0.19356199981317757,0.1517809999065888,9.705515991982978,0.01844352690689706
46,0,0,0,0.19193237786095352,0.15096618893047675,9.680004609601326,0.018145067467594197
47,0,0,0,0.19628988446731557,0.1531449422336578,9.746263863804614,0.017442264566535002
48,0,0,0,0.19656415140929534,0.1532820757046477,9.748134517987527,0.018885028394509482
49,0,0,0,0.19866632190137334,0.1543331609506867,9.778027990828432,0.024996919987773564
50,0,0,0,0.19679982137029436,0.1533999106851472,9.748493552374091,0.025731503666807088
51,0,0,0,0.1950494998056532,0.1525247499028266,9.721190350471783,0.025760617245473936
52,0,0,0,0.19669792266360978,0.1533489613318049,9.744434574241822,0.02570340281919981
53,0,0,0,0.196521544529686,0.15326077226484303,9.747470605445491,0.026070849680643337
54,0,0,0,0.19608562954743,0.153042814773715,9.742124831575822,0.025882567568884362
55,0,0,0,0.1987382099616228,0.1543691049808114,9.786365268123893,0.027615107566605
56,0,0,0,0.19856672570298867,0.15428336285149435,9.779397127361745,0.019353818022886268
57,0,0,0,0.19533790273255197,0.152668951366276,9.7302414621427,0.02056878316952424
58,0,0,0,0.19497588536963179,0.15248794268481589,9.731860078270703,0.02148040228275393
59,0,0,0,0.194635041926877,0.15231752096343848,9.723898486556845,0.02078650791663493
60,0,0,0,0.194677115954774,0.152338557977387,9.722562593572112,0.021847611498362906
