scenario,model,metric,value
critical,threshold,avg_ram,0.3
critical,threshold,avg_energy,635.5
critical,threshold,max_latency,14.304999999999998
critical,threshold,max_jitter,1.6540003778717831
critical,qlearning,avg_migrations,0.021
critical,qlearning,total_migrations,21
critical,qlearning,avg_latency,10.788814999999998
critical,qlearning,avg_jitter,0.030348679882938035
critical,qlearning,avg_cpu,0.39249999999999996
critical,qlearning,avg_ram,0.3
critical,qlearning,avg_energy,635.5
critical,qlearning,max_latency,14.015
critical,qlearning,max_jitter,2.023578266339111
critical,hybrid,avg_migrations,0.026
critical,hybrid,total_migrations,26
critical,hybrid,avg_latency,11.352189999999998
critical,hybrid,avg_jitter,0.037964774733652305
critical,hybrid,avg_cpu,0.39249999999999996
critical,hybrid,avg_ram,0.3
critical,hybrid,avg_energy,635.5
critical,hybrid,max_latency,16.705
critical,hybrid,max_jitter,2.470961351377233
critical,hybrid,reactive_migrations,0
critical,hybrid,proactive_migrations,26
critical,threshold,avg_migrations,0.011
critical,threshold,total_migrations,11
critical,threshold,avg_latency,11.044074999999998
critical,threshold,avg_jitter,0.025200778645395862
critical,threshold,avg_cpu,0.39249999999999996
critical,threshold,avg_ram,0.3
critical,threshold,avg_energy,635.5
critical,threshold,max_latency,14.235
critical,threshold,max_jitter,1.1627902863371369
critical,qlearning,avg_migrations,0.022
critical,qlearning,total_migrations,22
critical,qlearning,avg_latency,11.19253
critical,qlearning,avg_jitter,0.03125770818264978
critical,qlearning,avg_cpu,0.39249999999999996
critical,qlearning,avg_ram,0.3
critical,qlearning,avg_energy,635.5
critical,qlearning,max_latency,14.969999999999999
critical,qlearning,max_jitter,2.141590822262741
critical,hybrid,avg_migrations,0.021
critical,hybrid,total_migrations,21
critical,hybrid,avg_latency,11.345435
critical,hybrid,avg_jitter,0.02665424739995605
critical,hybrid,avg_cpu,0.39249999999999996
critical,hybrid,avg_ram,0.3
critical,hybrid,avg_energy,635.5
critical,hybrid,max_latency,14.899999999999997
critical,hybrid,max_jitter,1.602637201614888
critical,hybrid,reactive_migrations,0
critical,hybrid,proactive_migrations,21
critical,threshold,avg_migrations,0.012
critical,threshold,total_migrations,12
critical,threshold,avg_latency,11.160594999999997
critical,threshold,avg_jitter,0.03019882344323223
