scenario,model,metric,value
standard,hybrid,max_jitter,0.625996115866606
standard,hybrid,reactive_migrations,0
standard,hybrid,proactive_migrations,5
standard,threshold,avg_migrations,0.005
standard,threshold,total_migrations,5
standard,threshold,avg_latency,9.479051153032287
standard,threshold,avg_jitter,0.3055686925445257
standard,threshold,avg_cpu,0.3862603965452657
standard,threshold,avg_ram,0.2977703377314588
standard,threshold,avg_energy,631.7562379271595
standard,threshold,max_latency,13.035339580578944
standard,threshold,max_jitter,0.6258932339252529
standard,qlearning,avg_migrations,0.005
standard,qlearning,total_migrations,5
standard,qlearning,avg_latency,9.568405060274475
standard,qlearning,avg_jitter,0.3112676032007548
standard,qlearning,avg_cpu,0.3862603965452657
standard,qlearning,avg_ram,0.2977703377314588
standard,qlearning,avg_energy,631.7562379271595
standard,qlearning,max_latency,13.035339580578944
standard,qlearning,max_jitter,0.6258932339252529
standard,hybrid,avg_migrations,0.005
standard,hybrid,total_migrations,5
standard,hybrid,avg_latency,9.559344741303164
standard,hybrid,avg_jitter,0.31404533537720297
standard,hybrid,avg_cpu,0.3862603965452657
standard,hybrid,avg_ram,0.2977703377314588
standard,hybrid,avg_energy,631.7562379271595
standard,hybrid,max_latency,13.035339580578944
standard,hybrid,max_jitter,0.6258932339252529
standard,hybrid,reactive_migrations,0
standard,hybrid,proactive_migrations,5
standard,threshold,avg_migrations,0.005
standard,threshold,total_migrations,5
standard,threshold,avg_latency,9.725923895421511
standard,threshold,avg_jitter,0.3268765643837845
standard,threshold,avg_cpu,0.3825436948748747
standard,threshold,avg_ram,0.2950064235214746
standard,threshold,avg_energy,629.5262169249248
standard,threshold,max_latency,13.264915433255485
standard,threshold,max_jitter,0.691428638081793
standard,qlearning,avg_migrations,0.005
standard,qlearning,total_migrations,5
standard,qlearning,avg_latency,9.441729458324048
standard,qlearning,avg_jitter,0.3169999602658792
standard,qlearning,avg_cpu,0.3825436948748747
standard,qlearning,avg_ram,0.2950064235214746
standard,qlearning,avg_energy,629.5262169249248
standard,qlearning,max_latency,12.994210889429109
standard,qlearning,max_jitter,0.6914286380817929
standard,hybrid,avg_migrations,0.005
standard,hybrid,total_migrations,5
standard,hybrid,avg_latency,9.594881387136185
standard,hybrid,avg_jitter,0.32099545672700985
standard,hybrid,avg_cpu,0.3825436948748747
standard,hybrid,avg_ram,0.2950064235214746
standard,hybrid,avg_energy,629.5262169249248
standard,hybrid,max_latency,12.994210889429109
