time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter,energy_consumption,reactive_migrations,proactive_migrations
0,0,0,0,0.3351897323813711,0.2646328126669598,10.83151785905097,0,601.1138394288228,0,0
1,0,0,0,0.39529193246717365,0.30670435272702157,11.306253734941631,0.23736793794533018,637.1751594803042,0,0
2,0,0,0,0.35646699859959585,0.27952689901971717,10.989991195308889,0.19734626763279126,613.8801991597575,0,0
3,0,0,0,0.3752597437501738,0.29268182062512166,11.13511109346995,0.1755399499926046,625.1558462501043,0,0
4,0,0,0,0.4717830408849614,0.360248128619473,11.902537022250343,0.3697213347260974,683.0698245309768,0,0
5,0,0,0,0.483918382031283,0.3687428674218981,11.995339705183255,0.44114745035551356,690.3510292187698,0,0
6,0,0,0,0.45520895255159827,0.34864626678611876,11.761881516555494,0.4319418508997961,673.125371530959,0,0
7,0,0,0,0.5115057936497867,0.3880540555548507,12.208985714795183,0.4814215442632233,706.903476189872,0,0
8,0,0,0,0.4697323071365034,0.35881261499555245,11.87205242167747,0.46744399024987365,681.8393842819021,0,0
9,0,0,0,0.477898191365239,0.3645287339556673,11.93517005887381,0.4578157820399134,686.7389148191435,0,0
10,0,0,0,0.4462496153539962,0.34237473074779734,11.680316698165228,0.3808116830778438,667.7497692123977,0,0
11,0,0,0,0.48075567361048116,0.3665289715273368,11.955251665631401,0.36684290763587346,688.4534041662887,0,0
12,0,0,0,0.5262886106081403,0.3984020274256982,12.31895731153011,0.30529699732091453,715.773166364884,0,0
13,0,0,0,0.5507665941733559,0.41553661592134916,12.51478118005184,0.24480451780759988,730.4599565040136,0,0
14,0,0,0,0.5363389602313477,0.4054372721619434,12.399917958598335,0.2665591581456636,721.8033761388086,0,0
15,0,0,0,0.6515204735978084,0.48606433151846595,13.322483564115725,0.45964865946255845,790.912284158685,0,0
16,0,0,0,0.4933734564914495,0.3753614195440146,12.058972179883492,0.43973607957957683,696.0240738948696,0,0
17,0,0,0,0.542802009202209,0.4099614064415463,12.456610038203113,0.4449827811869489,725.6812055213254,0,0
18,0,0,0,0.5476541260519967,0.41335788823639774,12.498172374012865,0.4310245823544914,728.592475631198,0,0
19,0,0,0,0.5682947442054695,0.42780632094382864,12.666567849786462,0.42249579859221614,740.9768465232817,0,0
